"ciudad","periodo","año","mes","orden","semestre","apertura","rubro","mediana","mediapodada","cantidad_precios","ponderadorImplicito","variacion","incidencia","variacion_anual","incidencia_anual"
"Conurbano","2012-1",2012,1,100,"2012-IS","Almacén","Almacén",190.52,192.24,4946,0.45,2.67,1.18,,
"Conurbano","2012-1",2012,1,120,"2012-IS","Almacén-ConHarina","Almacén",78.55,79.99,909,0.18,1.94,0.35,,
"Conurbano","2012-1",2012,1,130,"2012-IS","Almacén-SinHarina","Almacén",111.96,112.24,4037,0.26,3.18,0.82,,
"Conurbano","2012-1",2012,1,200,"2012-IS","Verdulería","Verdulería",66.22,68.25,1585,0.15,2.39,0.37,,
"Conurbano","2012-1",2012,1,300,"2012-IS","Carnicería","Carnicería",166.33,165.94,1081,0.39,-1.03,-0.41,,
"Conurbano","2012-2",2012,2,1,"2012-IS","CBA","total",435.81,438.22,7045,1.00,3.01,3.01,,
"Conurbano","2012-2",2012,2,100,"2012-IS","Almacén","Almacén",191.44,193.00,4479,0.43,0.48,0.21,,
"Conurbano","2012-2",2012,2,120,"2012-IS","Almacén-ConHarina","Almacén",78.12,78.98,787,0.17,-0.55,-0.10,,
"Conurbano","2012-2",2012,2,130,"2012-IS","Almacén-SinHarina","Almacén",113.32,114.01,3692,0.26,1.21,0.32,,
"Conurbano","2012-2",2012,2,200,"2012-IS","Verdulería","Verdulería",74.76,74.71,1573,0.17,12.90,2.02,,
"Conurbano","2012-2",2012,2,300,"2012-IS","Carnicería","Carnicería",169.59,170.50,993,0.38,1.96,0.77,,
"Conurbano","2012-3",2012,3,1,"2012-IS","CBA","total",460.58,462.97,7535,1.00,5.68,5.68,,
"Conurbano","2012-3",2012,3,100,"2012-IS","Almacén","Almacén",199.46,200.67,5015,0.43,4.18,1.83,,
"Conurbano","2012-3",2012,3,120,"2012-IS","Almacén-ConHarina","Almacén",84.43,82.13,936,0.18,8.07,1.44,,
"Conurbano","2012-3",2012,3,130,"2012-IS","Almacén-SinHarina","Almacén",115.02,118.54,4079,0.24,1.50,0.39,,
"Conurbano","2012-3",2012,3,200,"2012-IS","Verdulería","Verdulería",76.93,79.42,1506,0.16,2.90,0.49,,
"Conurbano","2012-3",2012,3,300,"2012-IS","Carnicería","Carnicería",184.18,182.87,1014,0.39,8.59,3.34,,
"Conurbano","2012-4",2012,4,1,"2012-IS","CBA","total",481.61,487.30,6640,1.00,4.56,4.56,,
"Conurbano","2012-4",2012,4,100,"2012-IS","Almacén","Almacén",212.74,216.13,4312,0.44,6.65,2.88,,
"Conurbano","2012-4",2012,4,120,"2012-IS","Almacén-ConHarina","Almacén",86.29,86.91,789,0.17,2.19,0.40,,
"Conurbano","2012-4",2012,4,130,"2012-IS","Almacén-SinHarina","Almacén",126.45,129.22,3523,0.26,9.93,2.48,,
"Conurbano","2012-4",2012,4,200,"2012-IS","Verdulería","Verdulería",77.91,79.45,1345,0.16,1.26,0.21,,
"Conurbano","2012-4",2012,4,300,"2012-IS","Carnicería","Carnicería",190.96,191.70,983,0.39,3.68,1.47,,
"Conurbano","2012-5",2012,5,1,"2012-IS","CBA","total",484.81,485.68,7294,1.00,0.66,0.66,,
"Conurbano","2012-5",2012,5,100,"2012-IS","Almacén","Almacén",210.93,213.96,4719,0.43,-0.85,-0.37,,
